title,"superficie, chambres",location,description,price,link_ref,img_url
"Anfa loue appartement 2 ch cheminee terra...

					","Anfa loue appartement 2 ch cheminee terra...

					","Les princesses à
   						Casablanca
				","casa anfa princesse loue appartement 2 ch cheminee terrasse

vous cherchez un logement lumineux et agréable avec une grande terrasse ?
venez visiter cet appartement de 95 m² habitable avec une double terrasse
						...","7 000 DH
					",https://www.mubawab.ma/fr/a/7786156/anfa-loue-appartement-2-ch-cheminee-terrasse,https://www.mubawab-media.com/ad/7/786/156F/m/immobilier_casablanca_maroc_location_princesse_nourreska_appartement_terrasse%20%2817%29_57251121.JPG
"Bel appartement en location avec une vue...

					","Bel appartement en location avec une vue...

					","Ain Diab à
   						Casablanca
				","agréable appartement à louer. prix 22 000 dh. 3 chambres, 3 salles de bains, surface 171 m². 3 pièces. 7ème étage. moins de 5 ans. type de sol: marbre. bénéficiez du calme absolu avec fenêtres en double
						...","22 000 DH
					",https://www.mubawab.ma/fr/a/7786133/bel-appartement-en-location-avec-une-vue-sur-mer,https://www.mubawab-media.com/ad/7/786/133F/m/photo_0_57250947.jpg
"Superbe studio sur palmier

					","Superbe studio sur palmier

					","Palmier à
   						Casablanca
				","superbe studio sur palmier,composé d’une chambre avec placard et balcon, salon avec climatisation centrale et cuisine équipée américaine et salle de bain ascenseur et parking numéroté pour plus d’info veuillez
						...","6 800 DH
					",https://www.mubawab.ma/fr/a/7748088/superbe-studio-sur-palmier,https://www.mubawab-media.com/ad/7/748/088F/m/photo_0_53196408.jpg
"Superbe studio avec belle Terrase sur rac...

					","Superbe studio avec belle Terrase sur rac...

					","Racine à
   						Casablanca
				","appartement à louer idéalement placé. prix 9 000 dh. 2 pièces, 2 salles de bains, superficie 80 m². 1 chambre à coucher. 5ème étage. moins de 10 ans. type de sol: marbre. bien meublé.

cet appartement est à
						...","8 800 DH
					",https://www.mubawab.ma/fr/a/7741858/superbe-studio-avec-belle-terrase-sur-racine-urbain,https://www.mubawab-media.com/ad/7/741/858F/m/photo_0_52128939.jpg
"Bel appartement vide en location a Casabl...

					","Bel appartement vide en location a Casabl...

					","Casablanca Finance City à
   						Casablanca
				","appartement à louer idéalement placé. prix 16 000 dh. 3 chambres, 2 salles de bains, surface 138 m². 4 pièces. 11ème étage. moins d'un an. revêtement: marbre. confort et sécurité avec chauffage central, porte
						...","16 000 DH
					",https://www.mubawab.ma/fr/a/7786061/bel-appartement-vide-en-location-a-casablanca-finance-city,https://www.mubawab-media.com/ad/7/786/061F/m/photo_00_57237365.jpg
"Studio meublé de 50m à louer sur Oasis

					","Studio meublé de 50m à louer sur Oasis

					","Oasis à
   						Casablanca
				","on vous propose un studio de 50m avec terasse à louer sur oasis, finition haut standing et tres bien situé.

contactez nous pour plus de details.
				","7 300 DH
					",https://www.mubawab.ma/fr/a/7781581/studio-meubl%C3%A9-de-50m-%C3%A0-louer-sur-oasis,https://www.mubawab-media.com/ad/7/781/581F/m/e8eb2800-e0e3-4614-98e3-7c8acda0f66b_56605756.jpeg
"Appartement 2 chambres non meublé à louer...

					","Appartement 2 chambres non meublé à louer...

					","Maârif à
   						Casablanca
				","on vous propose un appartement de 105m avec deux chambres et 2 salles de bain et sans vis a vis à louer non meublé.
il se compose de :
- grand sejour sans vis a vis avec vue sur jardin,
- cuisine avec
						...","8 000 DH
					",https://www.mubawab.ma/fr/a/7779728/appartement-2-chambres-non-meubl%C3%A9-%C3%A0-louer-sur-maarif,https://www.mubawab-media.com/ad/7/779/728F/m/photo_00_57093074.jpg
"Appartement sans vis à vis 113m2 à ANFA C...

					","Appartement sans vis à vis 113m2 à ANFA C...

					","Casablanca Finance City à
   						Casablanca
				","nous mettons à votre disposition un bel appartement moderne est très bien éclairé sans aucun vis à vis.
 il se compose d une belle réception à l entrée, de deux chambres, deux salles de bain, une belle cuisine
						...","10 500 DH
					",https://www.mubawab.ma/fr/a/7766700/appartement-sans-vis-%C3%A0-vis-113m2-%C3%A0-anfa-city,https://www.mubawab-media.com/ad/7/766/700F/m/IMG-20230829-WA0009_54761858.jpg
"Studio récent meublé quartier gauthier

					","Studio récent meublé quartier gauthier

					","Gauthier à
   						Casablanca
				","nous vous proposons un joli studio meublé dans une résidence récente a gauthier pas loin des twins center.
ce studio est composé d un salon européen avec balcon terrasse, une cuisine séparée, une salle d ebain
						...","7 500 DH
					",https://www.mubawab.ma/fr/a/7782142/studio-r%C3%A9cent-meubl%C3%A9-quartier-gauthier,https://www.mubawab-media.com/ad/7/782/142F/m/FB_IMG_1695491941865_56685643.jpg
"Appartement spacieux 212m2 à Ghandi

					","Appartement spacieux 212m2 à Ghandi

					","Beauséjour à
   						Casablanca
				","nous mettons en location un bel et spacieux appartement situé à beausejour près de toutes commodités dans une résidence entretenue avec deux appartements par étage et  place de parking pour deux voitures.
cet
						...","8 500 DH
					",https://www.mubawab.ma/fr/a/7773735/appartement-spacieux-212m2-%C3%A0-ghandi,https://www.mubawab-media.com/ad/7/773/735F/m/IMG_20230908_161718_55562604.jpg
"Appartement en location à Maârif. Surface...
					","Appartement en location à Maârif. Surface...
					","Maârif à
   					Casablanca
				","appartement idéal en location. prix 6 700 dh. 2 pièces, 1 salle de bains, surface 53 m². 1 chambre. nouveau. propriété entièrement meublée.

cet appartement est à louer à maârif. résidence sécurisée et
						...","6 700 DH
					",https://www.mubawab.ma/fr/a/7786240/appartement-en-location-%C3%A0-ma%C3%A2rif-surface-de-53-m%C2%B2-meubl%C3%A9,https://www.mubawab-media.com/ad/7/786/240F/m/photo_00_57252045.jpg
"Merveilleux Roof top Palmier proche Molié...
					","Merveilleux Roof top Palmier proche Molié...
					","Palmier à
   					Casablanca
				","merveilleux appartement traversant de 115 m2 ,  16 m2 de terrasse et 1 place de parking.
récemment rénové avec d'excellentes finitions ( robinetterie hans groe, sanitaires villeroy et boch, alumiminum 
						...","13 500 DH
					",https://www.mubawab.ma/fr/a/7785295/merveilleux-roof-top-palmier-proche-moli%C3%A9re,https://www.mubawab-media.com/ad/7/785/295F/m/IMG-20220719-WA0023_57126269.jpg
"Studio somptueux à CFC
					","Studio somptueux à CFC
					","Casablanca Finance City à
   					Casablanca
				","je vous propose un très beau studio de très haut standing dans un immeuble haut standing neuf dont 50m2 et 15 m2 de terrasse, , meublé neuf avec beaucoup de gout , ce studio est au 2 ème étage dans un site
						...","7 400 DH
					",https://www.mubawab.ma/fr/a/7785201/studio-somptueux-%C3%A0-cfc,https://www.mubawab-media.com/ad/7/785/201F/m/b00172e0-c2e2-429e-b5d3-d1b6d7ee2133_57104149.jpeg
"Appartement en location a Casablanca
					","Appartement en location a Casablanca
					","Les Hôpitaux à
   					Casablanca
				","je mets en location mon appartement situé a rue salim cherkaoui au quartier des hôpitaux. en face siege sgma. il est composé d'un salon, 3 chambres, 2 salles de bain, une cuisine deux balcons. une place de
						...","8 000 DH
					",https://www.mubawab.ma/fr/a/7785079/appartement-en-location-a-casablanca,https://www.mubawab-media.com/ad/7/785/079F/m/20230923_133923_57092673.jpg
"Appartement en location à Sidi Maarouf. 1...
					","Appartement en location à Sidi Maarouf. 1...
					","Sidi Maarouf à
   					Casablanca
				","belles prestations pour cet appartement à louer. prix 3300 dh. 3 pièces, 1 salle de bains, superficie 50 m². 1 chambre à coucher. moins de 20 ans. type de sol: carrelage.

cet appartement est proposé à la
						...","3 300 DH
					",https://www.mubawab.ma/fr/a/7783999/appartement-en-location-%C3%A0-sidi-maarouf-1-chambre,https://www.mubawab-media.com/ad/7/783/999F/m/photo_00_56929019.png
"Loue studio de 67m2 etat neuf à proximité...
					","Loue studio de 67m2 etat neuf à proximité...
					","Oulfa à
   					Casablanca
				","studio 67m2  avec 2 grandes chambres et un balcon
etat neuf,à proximité de l'hôpital cheick khalifa ben zayed et du cfc

				","5 500 DH
					",https://www.mubawab.ma/fr/a/7783846/loue-studio-de-67m2-etat-neuf-%C3%A0-proximit%C3%A9-de-cfc,https://www.mubawab-media.com/ad/7/783/846F/m/20230711_114748_56918376.jpg
"Bel appartement en location à Ain Borja...
					","Bel appartement en location à Ain Borja...
					","Ain Borja à
   					Casablanca
				","louez l'appartement de vos rêves. prix 5 500 dh. 4 pièces, 2 salles de bains, 120 m². 3 chambres. 5ème étage. moins de 20 ans. revêtement: carrelage. équipé d'une antenne parabolique. sécurité dans la
						...","5 500 DH
					",https://www.mubawab.ma/fr/a/7783814/bel-appartement-en-location-%C3%A0-ain-borja-4-pi%C3%A8ces-syst%C3%A8me-de-parabole-et-r%C3%A9sidence-s%C3%A9curis%C3%A9e,https://www.mubawab-media.com/ad/7/783/814F/m/photo_00_56916548.jpg
"Appartement a louer 13000DHS Meublée long...
					","Appartement a louer 13000DHS Meublée long...
					","Maârif à
   					Casablanca
				","appartement à louer - spacieux 100 m² avec terrasse et 2 places de parking

vous recherchez un appartement spacieux et entièrement équipé dans un emplacement idéal ? ne cherchez pas plus loin ! cet
						...","13 000 DH
					",https://www.mubawab.ma/fr/a/7783342/appartement-a-louer-13000dhs-meubl%C3%A9e-longue-dur%C3%A9e,https://www.mubawab-media.com/ad/7/783/342F/m/WhatsApp%20Image%202023-09-23%20at%2010.35.01_56847908.jpeg
"Appartement Haut Standing à louer Beauséj...
					","Appartement Haut Standing à louer Beauséj...
					","Beauséjour à
   					Casablanca
				","je met en location un appartement haut standing de type f3 avec suite parentale, 2 sdb italiennes et une cuisine équipée. (équipement électroménager neuf) 

double vitrage avec isolation acoustique et
						...","9 000 DH
					",https://www.mubawab.ma/fr/a/7782079/appartement-haut-standing-%C3%A0-louer-beaus%C3%A9jour,https://www.mubawab-media.com/ad/7/782/079F/m/IMG_5335_56684672.JPG
"Bel Appartement meublé à coté de Sheikh K...
					","Bel Appartement meublé à coté de Sheikh K...
					","Oulfa à
   					Casablanca
				","appartement meublé (sans tv) à louer à coté de l'hopital sheikh khalifa sans vis à vis et très bien ensoleillé
				","5 500 DH
					",https://www.mubawab.ma/fr/a/7780833/bel-appartement-meubl%C3%A9-%C3%A0-cot%C3%A9-de-sheikh-khalifa,https://www.mubawab-media.com/ad/7/780/833F/m/WhatsApp%20Image%202023-09-20%20at%2020.39.52_56523585.jpeg
